Ingested app: 'Knife&Axe Throwing' (row 5805) in  0.6888 seconds
Ingested app: 'EZ Web Video Cast | Chromecast' (row 10132) in  0.6928 seconds
Ingested app: 'Mopar Drag N Brag' (row 4401) in  0.6968 seconds
Ingested app: 'CNBC: Breaking Business News & Live Market Data' (row 9840) in  0.6887 seconds
Ingested app: 'Aquarium Co-Op Podcast' (row 7638) in  0.6968 seconds
Ingested app: 'Candy simply-Fi' (row 10458) in  0.7452 seconds
Ingested app: '[Substratum] K-Manager for K-Klock' (row 4288) in  0.0964 seconds
Ingested app: 'TV.AE' (row 5013) in  0.0924 seconds
Ingested app: 'Timehop' (row 2619) in  0.1044 seconds
Ingested app: 'EY TaxLaw NL' (row 10103) in  0.1004 seconds
Ingested app: 'Mortgage by Zillow: Calculator & Rates' (row 1473) in  0.1123 seconds
Ingested app: 'Beach Head Shooting Assault' (row 9467) in  0.06 seconds
Ingested app: 'Water Drink Reminder' (row 1369) in  0.0438 seconds
Ingested app: 'EZ Launcher' (row 10135) in  0.0398 seconds
Ingested app: 'AG Drive 3D' (row 5085) in  0.0398 seconds
Ingested app: 'CS Guns Shoot' (row 7821) in  0.0318 seconds
Ingested app: 'BV Smart' (row 6858) in  0.0358 seconds
Ingested app: 'BS TRACK CLIENT' (row 6750) in  0.0474 seconds
Ingested app: 'GroupMe' (row 404) in  0.047 seconds
Ingested app: 'Squeezy CF' (row 7255) in  0.047 seconds
Ingested app: 'Jigsaw Puzzles Volvo FH Trucks' (row 10422) in  0.047 seconds
Ingested app: 'iLauncher OS 12 Pro - Phone X' (row 4776) in  0.047 seconds
Ingested app: 'Tozer Devotional -Series 1' (row 5763) in  0.0468 seconds
Ingested app: 'Elmo Calls by Sesame Street' (row 2182) in  0.0468 seconds
Ingested app: 'OpenGL-ES Info' (row 9805) in  0.0469 seconds
Ingested app: "Read Unlimitedly! Kids'n Books" (row 4402) in  0.0469 seconds
Ingested app: 'Bacterial Vaginosis' (row 6853) in  0.0469 seconds
Ingested app: 'BT One Voice anywhere' (row 6771) in  0.047 seconds
Ingested app: 'VH1' (row 947) in  0.047 seconds
Ingested app: 'EB Cash Collections' (row 9218) in  0.047 seconds
Ingested app: 'Co-op Connections' (row 7636) in  0.0469 seconds
Ingested app: 'Aurum Blade EX' (row 10054) in  0.0469 seconds
Ingested app: 'Swift for Facebook Lite' (row 10198) in  0.0624 seconds
Ingested app: 'Charlotte County, FL' (row 10576) in  0.051 seconds
Ingested app: 'Dine In CT - Food Delivery' (row 7895) in  0.055 seconds
Ingested app: 'Dead Zombie Evil Killer:Axe' (row 5814) in  0.059 seconds
Ingested app: 'NEW Theme for Phone X' (row 4772) in  0.0557 seconds
Ingested app: 'All-night drugstore CI & Price' (row 7384) in  0.0482 seconds
Ingested app: 'C Pattern Programs Free' (row 4020) in  0.0677 seconds
Ingested app: 'Night Camera Blur Effect' (row 7495) in  0.048 seconds
Ingested app: 'Chispa, the Dating App for Latino, Latina Singles' (row 494) in  0.044 seconds
Ingested app: 'MOD-MASTER for Minecraft PE (Pocket Edition) Free' (row 10728) in  0.044 seconds
Ingested app: 'Goody.ba' (row 5922) in  0.0441 seconds
Ingested app: 'Epson iPrint' (row 9858) in  0.044 seconds
Ingested app: 'Talking Tom Gold Run' (row 1906) in  0.044 seconds
Ingested app: 'Google Classroom' (row 842) in  0.044 seconds
Ingested app: 'GPS Map Free' (row 3119) in  0.044 seconds
Ingested app: 'FP Transportation' (row 10764) in  0.044 seconds
Ingested app: 'SnpCupid Dating' (row 531) in  0.048 seconds
Ingested app: 'Zombie Tsunami' (row 3940) in  0.044 seconds
Ingested app: 'S-Home DK' (row 8488) in  0.048 seconds
Ingested app: 'Nero AirBurn' (row 7178) in  0.048 seconds
Ingested app: 'DK Pittsburgh Sports' (row 8479) in  0.044 seconds
Ingested app: 'Video Downloader for FB' (row 10227) in  0.044 seconds
Ingested app: 'Mee-EW' (row 10000) in  0.0474 seconds
Ingested app: 'AW - free video calls and chat' (row 5732) in  0.0434 seconds
Ingested app: 'The Legacy (Full)' (row 6538) in  0.0434 seconds
Ingested app: 'Pocket Yoga' (row 1347) in  0.0394 seconds
Ingested app: 'Wayfair - Shop All Things Home' (row 5543) in  0.0354 seconds
Ingested app: 'Dude Perfect 2' (row 8670) in  0.0354 seconds
Ingested app: 'NBC Sports' (row 3021) in  0.0313 seconds
Ingested app: 'CN Resident' (row 7623) in  0.0469 seconds
Ingested app: 'EV Bon Dictionary' (row 9972) in  0.0469 seconds
Ingested app: 'Video Download For FB' (row 10225) in  0.0469 seconds
Ingested app: 'Wolf of the BF:Commando MOBILE' (row 6088) in  0.0469 seconds
Ingested app: 'Contacts' (row 348) in  0.0469 seconds
Ingested app: 'Power BI Ultimate Orientation' (row 6283) in  0.045 seconds
Ingested app: 'Mini for Facebook lite' (row 10231) in  0.045 seconds
Ingested app: 'Hungry Girl Diet Bk. Companion' (row 6379) in  0.0489 seconds
Ingested app: 'Adult Glitter Color by Number Book - Sandbox Pages' (row 887) in  0.0529 seconds
Ingested app: 'BET NOW - Watch Shows' (row 922) in  0.0529 seconds
Ingested app: 'Blurfoto : Auto blur photo background & DSLR focus' (row 5081) in  0.057 seconds
Ingested app: 'CK-12 Physics Simulations' (row 7473) in  0.0433 seconds
Ingested app: 'EP Church Annapolis' (row 9701) in  0.0394 seconds
Ingested app: 'MOTOBAZAR EU' (row 9918) in  0.0394 seconds
Ingested app: 'Alchemy Classic Ad Free' (row 4986) in  0.0354 seconds
Ingested app: 'FanDuel: Daily Fantasy Sports' (row 3041) in  0.0473 seconds
Ingested app: 'Score! Hero' (row 1897) in  0.0483 seconds
Ingested app: 'A Word A Day' (row 3875) in  0.0496 seconds
Ingested app: 'Bank FD Interest Calculator' (row 10283) in  0.0535 seconds
Ingested app: 'Jurassic World\u2122 Alive' (row 1852) in  0.0578 seconds
Ingested app: 'CI CAFETERIAS UBER' (row 7409) in  0.0431 seconds
Ingested app: 'New 2018 Weather App & Widget' (row 3660) in  0.0461 seconds
